"County,State",MedIncome,Population,Value
"Phillips,Colorado",44399,4442.0,
"Pitkin,Colorado",149207,17148.0,2895000.0
"Prowers,Colorado",42259,12551.0,
"Pueblo,Colorado",39511,159063.0,221000.0
"Rio Blanco,Colorado",46809,6666.0,228950.0
"Rio Grande,Colorado",46717,11982.0,325000.0
"Routt,Colorado",83702,23509.0,699000.0
"Saguache,Colorado",30172,6108.0,285000.0
"San Juan,Colorado",44029,699.0,
"San Miguel,Colorado",85432,7359.0,1900000.0
"Sedgwick,Colorado",49004,2379.0,
"Summit,Colorado",67763,27994.0,645000.0
"Teller,Colorado",49197,23350.0,365000.0
"Washington,Colorado",44687,4814.0,
"Weld,Colorado",46172,252825.0,366990.0
"Yuma,Colorado",50364,10043.0,
"Fairfield,Connecticut",120630,916829.0,572214.0
"Hartford,Connecticut",64853,894014.0,247450.0
"Litchfield,Connecticut",64949,189927.0,305000.0
"Middlesex,Connecticut",68673,165676.0,315000.0
"New Haven,Connecticut",56650,862477.0,259900.0
"New London,Connecticut",59264,274055.0,268500.0
"Tolland,Connecticut",56614,152691.0,264450.0
"Windham,Connecticut",47264,118428.0,239450.0
"Kent,Delaware",42023,162310.0,260000.0
"New Castle,Delaware",56745,538479.0,261704.5
"Sussex,Delaware",50333,197145.0,354900.0
"Alachua,Florida",44390,247336.0,239790.0
"Baker,Florida",32313,27115.0,211400.5
"Bay,Florida",43231,168852.0,282900.0
"Bradford,Florida",33557,28520.0,199900.0
"Brevard,Florida",45425,543376.0,257500.0
"Broward,Florida",50269,1748066.0,310000.0
"Calhoun,Florida",26873,14625.0,172900.0
"Charlotte,Florida",41564,159978.0,253200.0
"Citrus,Florida",37920,141236.0,185900.0
"Clay,Florida",42909,190865.0,236990.0
"Collier,Florida",92686,321520.0,415000.0
"Columbia,Florida",35074,67531.0,198144.0
"DeSoto,Florida",23610,34862.0,
"Dixie,Florida",27956,16422.0,164950.0
"Duval,Florida",46174,864263.0,224000.0
"Escambia,Florida",42537,297619.0,243450.0
"Flagler,Florida",46220,95696.0,279900.0
"Franklin,Florida",35988,11549.0,399000.0
"Gadsden,Florida",35139,46389.0,155000.0
"Gilchrist,Florida",33774,16939.0,215000.0
"Glades,Florida",24467,12884.0,169000.0
"Gulf,Florida",35701,15863.0,369950.0
"Hamilton,Florida",26016,14799.0,
"Hardee,Florida",28285,27731.0,189700.0
"Hendry,Florida",31071,39140.0,179200.0
"Hernando,Florida",36878,172778.0,199900.0
"Highlands,Florida",33453,98786.0,164900.0
"Hillsborough,Florida",47000,1229226.0,274900.0
"Holmes,Florida",30468,19927.0,160000.0
"Indian River,Florida",76059,138028.0,289000.0
"Jackson,Florida",32106,49746.0,139900.0
"Jefferson,Florida",40736,14761.0,
"Lafayette,Florida",24148,8870.0,199500.0
"Lake,Florida",42190,297052.0,264000.0
"Lee,Florida",51266,618754.0,273240.0
"Leon,Florida",44482,275487.0,222500.0
"Levy,Florida",35204,40801.0,229000.0
"Liberty,Florida",23582,8365.0,
"Madison,Florida",31675,19224.0,155000.0
"Manatee,Florida",47378,322833.0,325000.0
"Marion,Florida",36997,331298.0,195900.0
"Martin,Florida",83873,146318.0,369500.0
"Miami-Dade,Florida",50022,2496435.0,399000.0
"Monroe,Florida",92119,73090.0,733000.0
"Nassau,Florida",57877,73314.0,316490.0
"Okaloosa,Florida",48875,180822.0,319000.0
"Okeechobee,Florida",30661,39996.0,199000.0
"Orange,Florida",44647,1145956.0,325000.0
"Osceola,Florida",33346,268685.0,272990.0
"Palm Beach,Florida",79760,1320134.0,349900.0
"Pasco,Florida",40313,464697.0,243245.0
"Pinellas,Florida",53455,916542.0,294000.0
"Polk,Florida",35463,602095.0,224990.0
"Putnam,Florida",31773,74364.0,169900.0
"St. Johns,Florida",68149,190039.0,
"St. Lucie,Florida",39374,277789.0,
"Santa Rosa,Florida",44527,151372.0,260275.0
"Sarasota,Florida",64868,379448.0,339000.0
"Seminole,Florida",49049,422718.0,305947.5
"Sumter,Florida",46100,93420.0,274000.0
"Suwannee,Florida",33068,41551.0,179450.0
"Taylor,Florida",30346,22570.0,159900.0
"Union,Florida",22227,15535.0,
"Volusia,Florida",42374,494593.0,248500.0
"Wakulla,Florida",37026,30776.0,235800.0
"Walton,Florida",59728,55043.0,599900.0
"Washington,Florida",29414,24896.0,202449.5
"Appling,Georgia",33268,18236.0,154000.0
"Atkinson,Georgia",30511,8375.0,
"Bacon,Georgia",33080,11096.0,
"Baker,Georgia",38666,3451.0,
"Baldwin,Georgia",33203,45720.0,
"Banks,Georgia",36276,18395.0,221721.0
"Barrow,Georgia",36898,69367.0,225000.0
"Bartow,Georgia",38298,100157.0,204117.5
"Ben Hill,Georgia",31436,17634.0,
"Berrien,Georgia",31535,19286.0,144900.0
"Bibb,Georgia",41709,155547.0,138000.0
"Bleckley,Georgia",33672,13063.0,
"Brantley,Georgia",27413,18411.0,129900.0
"Brooks,Georgia",34944,16243.0,145400.0
"Bryan,Georgia",52456,30233.0,284450.0
"Bulloch,Georgia",32382,70217.0,174700.0
"Burke,Georgia",35524,23316.0,178400.0
"Butts,Georgia",34297,23655.0,195000.0
"Calhoun,Georgia",24638,6694.0,
"Camden,Georgia",36113,50513.0,214900.0
"Candler,Georgia",31385,10998.0,194900.0
"Carroll,Georgia",38571,110527.0,199900.0
"Catoosa,Georgia",35158,63942.0,209900.0
"Charlton,Georgia",24976,12171.0,157500.0
"Chatham,Georgia",47563,265128.0,264715.0
"Chattahoochee,Georgia",31115,11267.0,
"Chattooga,Georgia",30946,26015.0,109450.0
"Cherokee,Georgia",51137,214346.0,339000.0
"Clarke,Georgia",33970,116714.0,215000.0
"Clay,Georgia",31520,3183.0,
"Clayton,Georgia",28020,259424.0,155000.0
"Clinch,Georgia",37548,6798.0,
"Cobb,Georgia",57162,688078.0,325000.0
"Coffee,Georgia",32644,42356.0,134900.0
"Colquitt,Georgia",32526,45498.0,179900.0
"Columbia,Georgia",49473,124053.0,249900.0
"Cook,Georgia",32524,17212.0,
"Coweta,Georgia",46438,127317.0,300400.0
"Crawford,Georgia",33784,12630.0,150000.0
"Crisp,Georgia",32540,23439.0,179500.0
"Dade,Georgia",35640,16633.0,229000.0
"Dawson,Georgia",45201,22330.0,289900.0
"Decatur,Georgia",36150,27842.0,177000.0
"DeKalb,Georgia",50871,691893.0,
"Dodge,Georgia",30682,21796.0,124900.0
"Dooly,Georgia",28297,14918.0,
"Dougherty,Georgia",34744,94565.0,87500.0
"Douglas,Georgia",35230,132403.0,221990.0
"Early,Georgia",38945,11008.0,134900.0
"Echols,Georgia",27880,4034.0,
"Effingham,Georgia",41942,52250.0,224222.5
"Elbert,Georgia",35448,20166.0,152450.0
"Emanuel,Georgia",32187,22598.0,129900.0
"Evans,Georgia",35212,11000.0,
"Fannin,Georgia",35727,23682.0,379000.0
"Fayette,Georgia",63515,106567.0,359945.0
"Floyd,Georgia",38524,96317.0,179800.0
"Forsyth,Georgia",62580,175511.0,390000.0
"Franklin,Georgia",36672,22084.0,205000.0
"Fulton,Georgia",84386,920581.0,350000.0
"Gilmer,Georgia",35419,28292.0,269824.5
"Glascock,Georgia",33931,3082.0,
"Glynn,Georgia",46073,79626.0,374900.0
"Gordon,Georgia",36947,55186.0,184200.0
"Grady,Georgia",34899,25011.0,175000.0
"Greene,Georgia",55396,15994.0,482450.0
"Gwinnett,Georgia",41458,805321.0,290000.0
"Habersham,Georgia",33925,43041.0,239900.0
"Hall,Georgia",43701,179684.0,300000.0
"Hancock,Georgia",29917,9429.0,
"Haralson,Georgia",36508,28780.0,188300.0
"Harris,Georgia",47469,32024.0,292900.0
"Hart,Georgia",38125,25213.0,228000.0
"Heard,Georgia",31144,11834.0,
"Henry,Georgia",39184,203922.0,234437.5
"Houston,Georgia",42625,139900.0,205250.0
"Irwin,Georgia",32824,9538.0,
"Jackson,Georgia",42211,60485.0,264500.0
"Jasper,Georgia",40606,13900.0,
"Jeff Davis,Georgia",29943,15068.0,
"Jefferson,Georgia",34034,16930.0,
"Jenkins,Georgia",29250,8340.0,
"Johnson,Georgia",26195,9980.0,
"Jones,Georgia",37618,28669.0,183762.0
"Lamar,Georgia",33079,18317.0,189500.0
"Lanier,Georgia",27561,10078.0,144000.0
"Laurens,Georgia",37372,48434.0,162644.0
"Lee,Georgia",47258,28298.0,185000.0
"Liberty,Georgia",35805,63453.0,149000.0
"Lincoln,Georgia",37333,7996.0,
"Long,Georgia",27071,14464.0,181300.0
"Lowndes,Georgia",37443,109233.0,159900.0
"Lumpkin,Georgia",37427,29966.0,280000.0
"McDuffie,Georgia",36982,21875.0,
"McIntosh,Georgia",29519,14333.0,238750.0
"Macon,Georgia",31028,14740.0,
"Madison,Georgia",36557,28120.0,212900.0
"Marion,Georgia",29333,8742.0,
"Meriwether,Georgia",34847,21992.0,139900.0
"Miller,Georgia",40826,6125.0,
"Mitchell,Georgia",35069,23498.0,97450.0
"Monroe,Georgia",44790,26424.0,319900.0
"Montgomery,Georgia",29408,9123.0,
"Morgan,Georgia",50541,17868.0,345000.0
"Murray,Georgia",29968,39628.0,162445.0
"Muscogee,Georgia",44149,189885.0,129900.0
"Newton,Georgia",33750,99958.0,209500.0
"Oconee,Georgia",66740,32808.0,385450.0
"Oglethorpe,Georgia",37709,14899.0,218900.0
"Paulding,Georgia",37727,142324.0,239000.0
"Peach,Georgia",38066,27695.0,180900.0
"Pickens,Georgia",47887,29431.0,299700.0
"Pierce,Georgia",36065,18758.0,184900.0
"Pike,Georgia",39851,17869.0,287450.0
"Polk,Georgia",32368,41475.0,158950.0
"Pulaski,Georgia",30358,12010.0,149500.0
"Putnam,Georgia",41839,21218.0,300000.0
"Quitman,Georgia",30902,2513.0,
"Rabun,Georgia",41128,16276.0,319000.0
"Randolph,Georgia",33238,7719.0,
"Richmond,Georgia",38196,200549.0,129900.0
"Rockdale,Georgia",35244,85215.0,225000.0
"Schley,Georgia",30931,5010.0,
"Screven,Georgia",35010,14593.0,109000.0
"Seminole,Georgia",40217,8729.0,
"Spalding,Georgia",34772,64073.0,180000.0
"Stephens,Georgia",38915,26175.0,158400.0
"Stewart,Georgia",22771,6058.0,
"Sumter,Georgia",35847,32819.0,136000.0
"Talbot,Georgia",34504,6865.0,
"Taliaferro,Georgia",33927,1717.0,
"Tattnall,Georgia",28406,25520.0,124900.0
"Taylor,Georgia",30141,8906.0,132450.0
"Telfair,Georgia",20923,16500.0,
"Terrell,Georgia",40325,9315.0,
"Thomas,Georgia",44355,44720.0,197750.0
"Tift,Georgia",37805,40118.0,
"Toombs,Georgia",35517,27223.0,149900.0
"Towns,Georgia",37858,10471.0,282700.0
"Treutlen,Georgia",30119,6885.0,
"Troup,Georgia",36476,67044.0,178700.0
"Turner,Georgia",34396,8930.0,
"Twiggs,Georgia",39530,9023.0,
"Union,Georgia",36581,21356.0,249900.0
"Upson,Georgia",35133,27153.0,149500.0
"Walker,Georgia",32826,68756.0,161990.0
"Walton,Georgia",40458,83768.0,280900.0
"Ware,Georgia",33906,36312.0,129900.0
"Warren,Georgia",34598,5834.0,
"Washington,Georgia",35296,21187.0,119950.0
"Wayne,Georgia",31954,30099.0,171950.0
"Webster,Georgia",33109,2799.0,
"Wheeler,Georgia",19631,7421.0,
"White,Georgia",34961,27144.0,219000.0
"Whitfield,Georgia",38752,102599.0,175000.0
"Wilcox,Georgia",26712,9255.0,
"Wilkes,Georgia",39472,10593.0,
"Wilkinson,Georgia",35204,9563.0,
"Worth,Georgia",34380,21679.0,149950.0
"Hawaii,Hawaii",42449,185079.0,400000.0
"Honolulu,Hawaii",59608,953207.0,638888.0
"Kauai,Hawaii",49416,67091.0,875000.0
"Maui + Kalawao,Hawaii",49040,,
"Ada,Idaho",52958,392365.0,379900.0
"Adams,Idaho",37452,3976.0,337000.0
"Bannock,Idaho",38160,82839.0,224900.0
"Bear Lake,Idaho",38493,5986.0,
"Benewah,Idaho",37383,9285.0,
"Bingham,Idaho",36335,45607.0,
"Blaine,Idaho",113780,21376.0,925000.0
"Boise,Idaho",43392,7028.0,349000.0
"Bonner,Idaho",41209,40877.0,447000.0
"Bonneville,Idaho",48287,104234.0,260000.0
"Boundary,Idaho",36934,10972.0,330500.0
"Butte,Idaho",38961,2891.0,
"Camas,Idaho",38600,1117.0,
"Canyon,Idaho",32680,188923.0,276900.0
"Caribou,Idaho",39146,6963.0,
"Cassia,Idaho",45220,22952.0,240000.0
"Clark,Idaho",39408,982.0,
"Clearwater,Idaho",34506,8761.0,
"Custer,Idaho",43185,4368.0,282450.0
